order_id,order_date,customer_info,customer_age,location,device_type,items,payment_method,currency,discount_code,shipping_cost,total_amount,order_status,loyalty_points,feedback_score
TXN-101229,2025-07-22T14:21:29.529921,"{""name"": ""Patty Smith"", ""email"": ""bishopgary@example.org"", ""phone"": ""(802)620-5633x063""}",67,Port Bryce,Desktop,"[{""product_id"": ""PRD-166"", ""category"": ""Sports"", ""price"": 337.36, ""quantity"": 2}]",Credit Card,USD,,7.8,683.63,Failed,67,3.0
TXN-101957,26/04/2024 11:07,"{""name"": ""Jessica Curry"", ""email"": ""trujilloian@example.com"", ""phone"": ""+1-783-319-4640x45313""}",69,Ferrellmouth,Desktop,"[{""product_id"": ""PRD-509"", ""category"": ""Home & Kitchen"", ""price"": 402.37, ""quantity"": 1}, {""product_id"": ""PRD-422"", ""category"": ""Home & Kitchen"", ""price"": 25.46, ""quantity"": 3}]",COD,USD,,12.04,492.03,Pending,47,3.0
TXN-103535,2025-08-31T09:47:17.728616,"{""name"": ""Shirley Sullivan"", ""email"": ""nhorne@example.com"", ""phone"": ""(263)928-8493x97689""}",66,West Josechester,Mobile,"[{""product_id"": ""PRD-740"", ""category"": ""Clothing"", ""price"": 50.31, ""quantity"": 3}, {""product_id"": ""PRD-719"", ""category"": ""Home & Kitchen"", ""price"": 379.27, ""quantity"": 2}]",PayPal,USD,,9.23,925.24,Completed,90,3.0
TXN-102047,2024-09-20T07:04:45.849268,"{""name"": ""Randy Murphy"", ""email"": ""holly31@example.net"", ""phone"": ""835.844.3568x7977""}",56,Johnathanmouth,Mobile,"[{""product_id"": ""PRD-162"", ""category"": ""Clothing"", ""price"": 238.8, ""quantity"": 2}, {""product_id"": ""PRD-889"", ""category"": ""Home & Kitchen"", ""price"": 424.99, ""quantity"": 2}, {""product_id"": ""PRD-624"", ""category"": ""Electronics"", ""price"": 165.0, ""quantity"": 1}]",credit_card,USD,,10.52,$1505.69,Completed,149,99.0
TXN-101451,2024-09-06T08:49:29.954139,"{""name"": ""Troy Campbell"", ""email"": ""carrollchristopher@example.com"", ""phone"": ""(977)731-1323x890""}",64,New Michelle,Mobile,"[{""product_id"": ""PRD-849"", ""category"": ""Electronics"", ""price"": 310.46, ""quantity"": 3}, {""product_id"": ""PRD-668"", ""category"": ""Home & Kitchen"", ""price"": 136.29, ""quantity"": 1}]",PayPal,USD,uw10,11.54,1087.16,Pending,106,4.0
TXN-101480,2024-02-20T06:32:46.523502,"{""name"": ""Julian Walker"", ""email"": ""qharper@example.net"", ""phone"": ""963-541-5188""}",26,North Kennethview,Mobile,"[{""product_id"": ""PRD-631"", ""category"": ""Electronics"", ""price"": 160.47, ""quantity"": 2}, {""product_id"": ""PRD-163"", ""category"": ""Sports"", ""price"": 21.55, ""quantity"": 2}, {""product_id"": ""PRD-620"", ""category"": ""Electronics"", ""price"": 312.6, ""quantity"": 2}]",PayPal,USD,,5.49,997.43,Pending,98,5.0
TXN-102717,2025-03-04T15:11:42.699063,"{""name"": ""Matthew Patterson"", ""email"": ""stewarttimothy@example.org"", ""phone"": ""001-775-595-2543""}",45,Lake Lisa,Mobile,"[{""product_id"": ""PRD-961"", ""category"": ""Sports"", ""price"": 53.93, ""quantity"": 3}, {""product_id"": ""PRD-194"", ""category"": ""Clothing"", ""price"": 385.01, ""quantity"": 3}]",PayPal,USD,,12.04,1336.04,Completed,131,99.0
TXN-100463,2025-09-14T20:03:18.773153,"{""name"": ""Brandon Haley"", ""email"": ""xgonzalez@example.org"", ""phone"": ""420-670-7926""}",24,Patrickshire,,"[{""product_id"": ""PRD-650"", ""category"": ""Electronics"", ""price"": 356.69, ""quantity"": 3}]",Credit Card,USD,,11.43,1088.48,Failed,107,
TXN-100093,2025-04-24T16:50:37.835867,"{""name"": ""Andrew Alexander"", ""email"": ""angela91@example.com"", ""phone"": ""(850)848-9481""}",23,Port Robertland,,"[{""product_id"": ""PRD-375"", ""category"": ""Home & Kitchen"", ""price"": 68.33, ""quantity"": 3}, {""product_id"": ""PRD-130"", ""category"": ""Books"", ""price"": 115.33, ""quantity"": 3}]",CREDITCARD,USD,,12.75,$559.65,Completed,55,1.0
TXN-104303,30/09/2025 16:38,"{""name"": ""Daniel Scott"", ""email"": ""wagnerheather@example.org"", ""phone"": ""9896089524""}",23,Danielview,,"[{""product_id"": ""PRD-339"", ""category"": ""Home & Kitchen"", ""price"": 103.62, ""quantity"": 2}, {""product_id"": ""PRD-435"", ""category"": ""Home & Kitchen"", ""price"": 494.31, ""quantity"": 2}, {""product_id"": ""PRD-488"", ""category"": ""Clothing"", ""price"": 233.38, ""quantity"": 3}]",credit_card,USD,,14.16,$1905.2,Completed,189,
TXN-100749,2025-03-02T04:04:03.515910,"{""name"": ""William Newman"", ""email"": ""sherri35@example.com"", ""phone"": ""(458)320-3173""}",61,East Kathleen,Desktop,"[{""product_id"": ""PRD-488"", ""category"": ""Clothing"", ""price"": 397.78, ""quantity"": 2}]",PayPal,USD,,5.94,810.86,Refunded,79,3.0
TXN-103824,2025-03-24T06:23:01.980174,"{""name"": ""Amanda Harris"", ""email"": ""kvaldez@example.net"", ""phone"": ""(978)774-9852""}",66,Port Natalieside,,"[{""product_id"": ""PRD-688"", ""category"": ""Home & Kitchen"", ""price"": 119.01, ""quantity"": 2}, {""product_id"": ""PRD-925"", ""category"": ""Sports"", ""price"": 187.5, ""quantity"": 2}, {""product_id"": ""PRD-574"", ""category"": ""Electronics"", ""price"": 251.04, ""quantity"": 3}]",CREDITCARD,USD,,7.72,1381.59,Failed,136,5.0
TXN-104934,15/11/2024 03:31,"{""name"": ""David Allen"", ""email"": ""samuelfrancis@example.com"", ""phone"": ""416.218.6148x7867""}",29,Woodsfurt,,"[{""product_id"": ""PRD-441"", ""category"": ""Books"", ""price"": 20.09, ""quantity"": 3}]",credit_card,USD,,14.5,$74.37,Pending,6,2.0
TXN-101737,2024-02-02T10:11:07.316412,"{""name"": ""Kyle Rowe"", ""email"": ""rick08@example.net"", ""phone"": ""001-683-522-3495x286""}",35,South Hannahberg,Mobile,"[{""product_id"": ""PRD-332"", ""category"": ""Clothing"", ""price"": 129.62, ""quantity"": 2}, {""product_id"": ""PRD-402"", ""category"": ""Clothing"", ""price"": 210.3, ""quantity"": 3}]",Credit Card,USD,,-10.0,896.72,Pending,89,1.0
TXN-101128,2025-10-26T02:07:23.716845,"{""name"": ""Emily Hester"", ""email"": ""jamesboyd@example.org"", ""phone"": ""957-606-9296x5677""}",44,Port Curtistown,Desktop,"[{""product_id"": ""PRD-160"", ""category"": ""Books"", ""price"": 458.2, ""quantity"": 2}, {""product_id"": ""PRD-234"", ""category"": ""Books"", ""price"": 414.25, ""quantity"": 2}]",CREDITCARD,USD,zJ10,11.83,1759.12,Refunded,174,1.0
TXN-102042,2025-09-02T19:22:45.364510,"{""name"": ""Jessica Reynolds"", ""email"": ""kaylabanks@example.com"", ""phone"": ""001-744-848-1371x7784""}",37,Lake Madisontown,Desktop,"[{""product_id"": ""PRD-246"", ""category"": ""Sports"", ""price"": 234.47, ""quantity"": 2}, {""product_id"": ""PRD-440"", ""category"": ""Home & Kitchen"", ""price"": 287.58, ""quantity"": 1}, {""product_id"": ""PRD-666"", ""category"": ""Electronics"", ""price"": 165.26, ""quantity"": 1}]",CREDITCARD,USD,,10.78,939.64,Pending,92,3.0
TXN-100883,2025-11-12T08:21:31.095803,"{""name"": ""Ana Malone"", ""email"": ""elizabeth78@example.com"", ""phone"": ""662-986-4691""}",28,Davidhaven,Desktop,"[{""product_id"": ""PRD-496"", ""category"": ""Home & Kitchen"", ""price"": 238.17, ""quantity"": 3}, {""product_id"": ""PRD-710"", ""category"": ""Books"", ""price"": 374.4, ""quantity"": 3}, {""product_id"": ""PRD-804"", ""category"": ""Clothing"", ""price"": 454.43, ""quantity"": 3}]",COD,USD,av10,6.17,3220.96,Pending,320,2.0
TXN-104243,2025-05-16T03:58:59.073863,"{""name"": ""Jason Schultz"", ""email"": ""hlloyd@example.net"", ""phone"": ""+1-772-589-0327""}",29,Hahnport,Mobile,"[{""product_id"": ""PRD-291"", ""category"": ""Sports"", ""price"": 109.32, ""quantity"": 2}, {""product_id"": ""PRD-197"", ""category"": ""Clothing"", ""price"": 112.42, ""quantity"": 3}]",credit_card,USD,,10.11,566.38,Completed,55,2.0
TXN-103332,2025-02-27T04:29:38.180687,"{""name"": ""Christina Andrews"", ""email"": ""david94@example.com"", ""phone"": ""(649)838-4170x12113""}",21,Ramirezhaven,Mobile,"[{""product_id"": ""PRD-677"", ""category"": ""Sports"", ""price"": 143.11, ""quantity"": 1}]",credit_card,USD,,7.45,159.89,Pending,14,2.0
TXN-103361,2024-08-20T17:53:09.010303,"{""name"": ""Sherry Thornton"", ""email"": ""hcase@example.net"", ""phone"": ""607.216.8377x7143""}",25,North Matthewview,Desktop,"[{""product_id"": ""PRD-417"", ""category"": ""Electronics"", ""price"": 194.07, ""quantity"": 3}, {""product_id"": ""PRD-616"", ""category"": ""Books"", ""price"": 310.15, ""quantity"": 3}, {""product_id"": ""PRD-557"", ""category"": ""Home & Kitchen"", ""price"": 252.54, ""quantity"": 2}]",PayPal,USD,FY10,12.16,2033.62,Refunded,201,1.0
TXN-101992,2024-09-11T21:06:34.044854,"{""name"": ""Dustin Parker"", ""email"": ""lisa05@example.net"", ""phone"": ""+1-974-943-3066""}",34,East Michael,,"[{""product_id"": ""PRD-266"", ""category"": ""Sports"", ""price"": 26.82, ""quantity"": 1}]",credit_card,USD,,9.72,$45.55,Pending,2,
TXN-102773,2025-12-29T21:30:13.590668,"{""name"": ""Laura Yoder"", ""email"": null, ""phone"": ""+1-472-412-6507x216""}",19,New Amanda,Mobile,"[{""product_id"": ""PRD-690"", ""category"": ""Sports"", ""price"": 269.65, ""quantity"": 3}, {""product_id"": ""PRD-664"", ""category"": ""Home & Kitchen"", ""price"": 114.78, ""quantity"": 2}, {""product_id"": ""PRD-344"", ""category"": ""Clothing"", ""price"": 207.52, ""quantity"": 3}]",Credit Card,USD,NW10,5.29,$1680.37,Failed,166,5.0
TXN-104796,2024-09-09T00:03:51.656687,"{""name"": ""Michael Estrada"", ""email"": ""webbebony@example.org"", ""phone"": ""9618973019""}",63,New Jeffrey,,"[{""product_id"": ""PRD-780"", ""category"": ""Books"", ""price"": 88.17, ""quantity"": 3}, {""product_id"": ""PRD-553"", ""category"": ""Sports"", ""price"": 411.83, ""quantity"": 2}, {""product_id"": ""PRD-943"", ""category"": ""Clothing"", ""price"": 221.62, ""quantity"": 3}]",CREDITCARD,USD,,5.31,1759.58,Refunded,175,2.0
TXN-103086,2024-09-09T22:10:44.962649,"{""name"": ""Scott Estrada"", ""email"": ""xhardy@example.com"", ""phone"": ""3106303614""}",46,North Cynthia,Mobile,"[{""product_id"": ""PRD-276"", ""category"": ""Electronics"", ""price"": 105.2, ""quantity"": 1}, {""product_id"": ""PRD-356"", ""category"": ""Sports"", ""price"": 64.7, ""quantity"": 3}]",credit_card,USD,Xs10,6.66,311.05,Failed,29,4.0
TXN-100118,06/03/2025 02:54,"{""name"": ""Amber Brown PhD"", ""email"": ""fhooper@example.org"", ""phone"": ""8862469797""}",53,Port Kelly,,"[{""product_id"": ""PRD-640"", ""category"": ""Home & Kitchen"", ""price"": 204.28, ""quantity"": 1}, {""product_id"": ""PRD-797"", ""category"": ""Sports"", ""price"": 371.6, ""quantity"": 3}, {""product_id"": ""PRD-732"", ""category"": ""Sports"", ""price"": 204.47, ""quantity"": 1}]",PayPal,USD,,6.71,1533.46,Completed,152,
TXN-101881,2024-12-16T03:46:11.692302,"{""name"": ""Luis Perkins"", ""email"": ""kwise@example.org"", ""phone"": ""(684)320-1098x39555""}",48,Joshuafort,Mobile,"[{""product_id"": ""PRD-539"", ""category"": ""Electronics"", ""price"": 307.63, ""quantity"": 1}, {""product_id"": ""PRD-149"", ""category"": ""Sports"", ""price"": 372.3, ""quantity"": 1}, {""product_id"": ""PRD-927"", ""category"": ""Home & Kitchen"", ""price"": 309.07, ""quantity"": 3}]",COD,USD,,5.9,1614.97,Completed,160,99.0
TXN-102546,2024-07-23T16:40:55.433051,"{""name"": ""Ronald Hart"", ""email"": ""hicksstacy@example.org"", ""phone"": ""558.616.8807""}",45,Lauriestad,Mobile,"[{""product_id"": ""PRD-753"", ""category"": ""Books"", ""price"": 225.3, ""quantity"": 2}]",COD,USD,Hj10,12.02,458.91,Pending,45,99.0
TXN-104453,29/02/2024 14:15,"{""name"": ""Debbie Ford"", ""email"": ""victorhenderson@example.net"", ""phone"": ""+1-335-660-5746x27080""}",55,Nguyenhaven,,"[{""product_id"": ""PRD-379"", ""category"": ""Sports"", ""price"": 438.38, ""quantity"": 2}, {""product_id"": ""PRD-803"", ""category"": ""Sports"", ""price"": 123.67, ""quantity"": 3}]",PayPal,USD,,6.15,1258.39,Failed,124,4.0
TXN-100077,2024-07-31T15:20:07.561815,"{""name"": ""Shannon Fuentes"", ""email"": ""christopherlutz@example.net"", ""phone"": ""(879)642-6401x6004""}",45,South Anita,Desktop,"[{""product_id"": ""PRD-250"", ""category"": ""Home & Kitchen"", ""price"": 246.52, ""quantity"": 1}, {""product_id"": ""PRD-371"", ""category"": ""Sports"", ""price"": 52.55, ""quantity"": 3}, {""product_id"": ""PRD-604"", ""category"": ""Clothing"", ""price"": 432.41, ""quantity"": 3}]",credit_card,USD,,11.72,1716.82,Completed,170,
TXN-103735,2025-08-31T16:01:53.078961,"{""name"": ""Crystal Castro"", ""email"": ""kellymichael@example.com"", ""phone"": ""(281)505-3919""}",62,Gonzalesland,,"[{""product_id"": ""PRD-981"", ""category"": ""Electronics"", ""price"": 497.07, ""quantity"": 2}]",Credit Card,USD,,13.66,1013.61,Pending,99,
TXN-104822,2025-06-12T10:38:11.706044,"{""name"": ""Christopher Perez"", ""email"": ""barneselaine@example.net"", ""phone"": ""678.563.1976""}",46,Brandonview,,"[{""product_id"": ""PRD-671"", ""category"": ""Clothing"", ""price"": 386.24, ""quantity"": 1}, {""product_id"": ""PRD-852"", ""category"": ""Home & Kitchen"", ""price"": 398.14, ""quantity"": 1}]",PayPal,USD,,6.88,801.83,Pending,78,1.0
TXN-103158,2024-12-28T16:19:33.229981,"{""name"": ""Carmen Wong"", ""email"": ""nancy92@example.org"", ""phone"": ""+1-715-418-3508""}",22,Mcneilberg,,"[{""product_id"": ""PRD-833"", ""category"": ""Home & Kitchen"", ""price"": 487.12, ""quantity"": 3}]",CREDITCARD,USD,,-10.0,1471.88,Completed,146,
TXN-104892,2024-09-16T14:59:00.743675,"{""name"": ""Christina Peterson"", ""email"": ""lindsay86@example.com"", ""phone"": ""001-822-508-1328x2987""}",37,Lisashire,,"[{""product_id"": ""PRD-475"", ""category"": ""Electronics"", ""price"": 82.0, ""quantity"": 2}, {""product_id"": ""PRD-760"", ""category"": ""Clothing"", ""price"": 175.44, ""quantity"": 1}]",PayPal,USD,,6.83,$349.41,Failed,33,3.0
TXN-100113,2025-01-26T16:33:59.075085,"{""name"": ""Adam Snyder"", ""email"": ""amber30@example.org"", ""phone"": ""541.828.6088""}",34,Novakhaven,Desktop,"[{""product_id"": ""PRD-697"", ""category"": ""Electronics"", ""price"": 427.86, ""quantity"": 2}, {""product_id"": ""PRD-594"", ""category"": ""Books"", ""price"": 473.39, ""quantity"": 3}]",PayPal,USD,,5.53,2290.03,Failed,227,99.0
TXN-101658,2025-02-19T12:01:54.153342,"{""name"": ""Christopher Roberts"", ""email"": ""pittmanshannon@example.net"", ""phone"": ""935.825.0770x9932""}",67,Ryanton,,"[{""product_id"": ""PRD-289"", ""category"": ""Sports"", ""price"": 325.84, ""quantity"": 2}]",COD,USD,,11.08,665.43,Completed,65,4.0
TXN-102035,17/11/2024 19:17,"{""name"": ""Tiffany Hodges"", ""email"": ""nelsonbrian@example.com"", ""phone"": ""6704935687""}",66,North Reneefurt,Desktop,"[{""product_id"": ""PRD-574"", ""category"": ""Electronics"", ""price"": 448.09, ""quantity"": 3}, {""product_id"": ""PRD-202"", ""category"": ""Clothing"", ""price"": 259.63, ""quantity"": 3}]",PayPal,USD,,8.07,$2128.95,Failed,212,
TXN-101755,2025-08-06T23:54:35.494518,"{""name"": ""Christine Gardner"", ""email"": ""russellvasquez@example.org"", ""phone"": ""+1-987-369-0807x252""}",67,Lake Carrie,,"[{""product_id"": ""PRD-240"", ""category"": ""Sports"", ""price"": 441.53, ""quantity"": 2}, {""product_id"": ""PRD-898"", ""category"": ""Electronics"", ""price"": 326.52, ""quantity"": 2}]",credit_card,USD,,6.47,1555.55,Pending,153,4.0
TXN-100927,15/07/2025 01:32,"{""name"": ""Joshua Mclaughlin"", ""email"": ""wilsonmatthew@example.org"", ""phone"": ""6815326316""}",55,Melindaland,Mobile,"[{""product_id"": ""PRD-747"", ""category"": ""Home & Kitchen"", ""price"": 106.13, ""quantity"": 1}]",PayPal,USD,bw10,11.27,123.71,Completed,10,2.0
TXN-102129,2025-01-02T04:08:50.367657,"{""name"": ""David Bennett"", ""email"": ""qerickson@example.org"", ""phone"": ""001-644-660-6995""}",29,Gilbertville,Desktop,"[{""product_id"": ""PRD-184"", ""category"": ""Electronics"", ""price"": 481.9, ""quantity"": 3}, {""product_id"": ""PRD-377"", ""category"": ""Electronics"", ""price"": 17.86, ""quantity"": 3}, {""product_id"": ""PRD-321"", ""category"": ""Sports"", ""price"": 319.14, ""quantity"": 2}]",PayPal,USD,,13.41,2150.1,Pending,213,3.0
TXN-103500,2024-05-09T17:38:50.484725,"{""name"": ""Jerry Richmond"", ""email"": ""foxsherry@example.net"", ""phone"": ""752.600.8000""}",57,Audreyville,Desktop,"[{""product_id"": ""PRD-352"", ""category"": ""Books"", ""price"": 282.42, ""quantity"": 2}]",CREDITCARD,USD,,14.14,577.39,Failed,56,
TXN-102688,12/01/2024 14:21,"{""name"": ""Alexander Martinez"", ""email"": ""heather62@example.org"", ""phone"": ""533-436-7850x759""}",54,South Peterside,Mobile,"[{""product_id"": ""PRD-890"", ""category"": ""Home & Kitchen"", ""price"": 21.48, ""quantity"": 2}]",CREDITCARD,USD,,9.26,52.94,Failed,4,4.0
TXN-101515,08/02/2025 11:31,"{""name"": ""Ricardo Small"", ""email"": ""sarah36@example.org"", ""phone"": ""529-577-8575x5936""}",61,Laurenshire,Mobile,"[{""product_id"": ""PRD-314"", ""category"": ""Electronics"", ""price"": 108.96, ""quantity"": 2}]",CREDITCARD,USD,,5.97,229.69,Completed,21,
TXN-104391,2024-06-16T02:02:37.561585,"{""name"": ""Mike Bailey"", ""email"": ""ryanlori@example.com"", ""phone"": ""(399)605-0258x9859""}",42,Crystalbury,Mobile,"[{""product_id"": ""PRD-344"", ""category"": ""Sports"", ""price"": 112.02, ""quantity"": 1}, {""product_id"": ""PRD-966"", ""category"": ""Clothing"", ""price"": 255.79, ""quantity"": 1}]",CREDITCARD,USD,,10.18,373.87,Completed,36,99.0
TXN-101986,2025-12-07T23:56:47.411051,"{""name"": ""Lisa Oconnor MD"", ""email"": ""snichols@example.net"", ""phone"": ""867-953-9792x3606""}",29,Melissafort,Mobile,"[{""product_id"": ""PRD-377"", ""category"": ""Sports"", ""price"": 146.05, ""quantity"": 3}]",credit_card,USD,,11.71,448.22,Completed,43,3.0
TXN-102370,2024-06-06T16:27:42.702919,"{""name"": ""Jill Young"", ""email"": ""amanda11@example.net"", ""phone"": ""(742)732-8009x18918""}",18,Brianaton,Mobile,"[{""product_id"": ""PRD-341"", ""category"": ""Sports"", ""price"": 96.7, ""quantity"": 3}, {""product_id"": ""PRD-736"", ""category"": ""Sports"", ""price"": 94.63, ""quantity"": 2}, {""product_id"": ""PRD-817"", ""category"": ""Home & Kitchen"", ""price"": 119.54, ""quantity"": 3}]",PayPal,USD,,11.05,847.08,Failed,83,99.0
TXN-101910,2024-06-22T19:50:19.377192,"{""name"": ""Mr. Duane Becker"", ""email"": null, ""phone"": ""972-774-7984x7364""}",35,Chavezburgh,,"[{""product_id"": ""PRD-357"", ""category"": ""Books"", ""price"": 214.66, ""quantity"": 1}]",credit_card,USD,,12.21,$234.64,Failed,21,2.0
TXN-101248,2025-05-21T03:44:46.891179,"{""name"": ""Zachary Rice"", ""email"": ""salazarjodi@example.org"", ""phone"": ""600.495.9576x36473""}",29,North Michelle,Desktop,"[{""product_id"": ""PRD-909"", ""category"": ""Clothing"", ""price"": 68.4, ""quantity"": 1}, {""product_id"": ""PRD-994"", ""category"": ""Home & Kitchen"", ""price"": 279.54, ""quantity"": 3}]",credit_card,USD,Ul10,9.72,912.92,Failed,90,4.0
TXN-101820,02/01/2025 23:29,"{""name"": ""Melissa Thornton"", ""email"": ""keith63@example.org"", ""phone"": ""(611)523-3637x33368""}",26,Robertview,Mobile,"[{""product_id"": ""PRD-793"", ""category"": ""Clothing"", ""price"": 132.14, ""quantity"": 3}, {""product_id"": ""PRD-196"", ""category"": ""Sports"", ""price"": 35.73, ""quantity"": 3}, {""product_id"": ""PRD-568"", ""category"": ""Home & Kitchen"", ""price"": 48.77, ""quantity"": 3}]",CREDITCARD,USD,,5.44,$655.28,Pending,64,3.0
TXN-103050,17/02/2025 02:59,"{""name"": ""Gregory Smith"", ""email"": ""jamiebrowning@example.org"", ""phone"": ""(658)698-4801""}",58,Rayberg,,"[{""product_id"": ""PRD-731"", ""category"": ""Home & Kitchen"", ""price"": 238.61, ""quantity"": 2}, {""product_id"": ""PRD-811"", ""category"": ""Clothing"", ""price"": 269.73, ""quantity"": 1}, {""product_id"": ""PRD-480"", ""category"": ""Sports"", ""price"": 461.3, ""quantity"": 2}]",credit_card,USD,,5.44,1681.53,Failed,166,3.0
TXN-102428,19/03/2024 07:49,"{""name"": ""Randy Smith"", ""email"": ""carlnorton@example.com"", ""phone"": ""001-706-479-4948x556""}",20,Tapiastad,,"[{""product_id"": ""PRD-837"", ""category"": ""Electronics"", ""price"": 16.43, ""quantity"": 2}, {""product_id"": ""PRD-120"", ""category"": ""Clothing"", ""price"": 235.45, ""quantity"": 2}, {""product_id"": ""PRD-315"", ""category"": ""Books"", ""price"": 185.04, ""quantity"": 1}]",Credit Card,USD,,5.77,703.18,Refunded,68,1.0
TXN-100040,2025-12-09T05:29:00.241445,"{""name"": ""Marc Hicks"", ""email"": ""harttony@example.org"", ""phone"": ""(427)302-1069x50188""}",67,Robinsonfort,Mobile,"[{""product_id"": ""PRD-235"", ""category"": ""Clothing"", ""price"": 408.04, ""quantity"": 1}, {""product_id"": ""PRD-792"", ""category"": ""Electronics"", ""price"": 175.48, ""quantity"": 1}]",COD,USD,kR10,9.51,591.65,Completed,58,5.0
TXN-102991,06/04/2024 19:51,"{""name"": ""Matthew Stewart"", ""email"": ""unoble@example.net"", ""phone"": ""401.223.3693x599""}",55,Matthewbury,Mobile,"[{""product_id"": ""PRD-573"", ""category"": ""Electronics"", ""price"": 52.26, ""quantity"": 2}]",credit_card,USD,,13.48,118.51,Refunded,10,3.0
